"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
413,435,-0.974478524206164,0.318369060950768,-0.400262655865162,0.0996368224418566,0.999250271811573,0.0999250271811573,-0.991717475260457,0.31746395486162,-0.400225608932237,0.0995970417971059,0.999225290554778,0.0999225290554778,0,0.911573709061848,0.80125,-0.0189221576156343,0.0699277997043307,-0.00174365535332711,0.460458801980696,0.0062741370130805,0.195303962806319,0.268541796836597,0.351228583101509
75,76,-0.963991096092441,0.309417375850536,-0.399946609054893,0.0998284447545153,0.999225290554778,0.0999225290554778,-0.961573085811843,0.319380953389128,-0.399895950643017,0.0998555775065742,0.999200309922514,0.0999200309922514,0,0.911670799187196,0.80125,-0.0186385592258019,0.0709423644842562,-0.00164496384781853,0.460554184052564,0.0062711629068036,0.195300266933527,0.268535083291676,0.351219802386932
620,635,-0.926793429431436,0.252502722907082,-0.400561984363393,0.100192262187767,0.999200309922514,0.0999200309922514,-0.913345721606997,0.265937589719066,-0.400557500684047,0.100303508063219,0.999175329914766,0.0999175329914766,0,0.91170067186768,0.8025,-0.0182474482939832,0.0708465274344826,-0.00141913994753315,0.461631535048675,0.00627011553827648,0.195298079649111,0.268528369914593,0.351211021891872
213,217,-0.961880210492944,0.260412489799069,-0.399772825826902,0.100475944582998,0.999175329914766,0.0999175329914766,-0.95199118544204,0.236203674433553,-0.399852577252586,0.100372420748513,0.999150350531518,0.0999150350531518,0,0.912239996747777,0.80125,-0.0183318113370105,0.0708272371888695,-0.00143397082374742,0.462020971883374,0.0062690740808183,0.19529063732206,0.268521656705345,0.351202241616325
243,256,0.142702017075342,0.285562601999285,0.100887169073618,0.100404867283692,0.0999150350531518,0.0999150350531518,0.14305741170866,0.267810066696006,0.100642459401883,0.10042803840306,0.0999125371772755,0.0999125371772755,0,0.912153870028977,0.8,-0.0183360872007821,0.0712943242236307,-0.00146978866800842,0.462400747415454,0.00627017756540626,0.195290755699456,0.268514943663928,0.351193461560284
200,175,-0.889118694253404,0.367114671166686,-0.398930110912396,0.100204868876843,0.999125371772755,0.0999125371772755,-0.878957047620938,0.374744802710129,-0.398827872257539,0.100120873074163,0.99910039363846,0.099910039363846,0,0.912167597664188,0.8,-0.0187813869866321,0.0707737766724141,-0.00134608227902284,0.461671059395059,0.00626953335817258,0.195288266747308,0.268508230790336,0.351184681723745
198,168,-0.951881290274914,0.260710900594541,-0.399674492874151,0.100420424161011,0.99910039363846,0.099910039363846,-0.944685004963224,0.247536742501768,-0.399724175883465,0.100550684678702,0.999075416128619,0.0999075416128619,0,0.912852998058065,0.8,-0.0183807960194061,0.0711559353181336,-0.00148211582810459,0.461365554392918,0.00626731375102636,0.195289144500294,0.268501518084566,0.351175902106702
770,792,0.372500780865616,0.343473899381585,0.0999690482275736,0.100221085116149,0.0999075416128619,0.0999075416128619,0.372662576112652,0.354270113916147,0.0999074692994738,0.100261738576843,0.0999050439243216,0.0999050439243216,0,0.913263844798379,0.80125,-0.0174310400848782,0.0706497827561462,-0.00126278996254271,0.460941594477475,0.00626147940009259,0.195286778153992,0.268494805546614,0.35116712270915
121,141,0.104063181906741,0.103485746298022,0.0996488257196732,0.100372990443288,0.0999050439243216,0.0999050439243216,0.109444261393954,0.105171156365844,0.0996465596588287,0.100423030483785,0.0999025462982235,0.0999025462982235,0,0.913258154080109,0.80125,-0.0175344398539611,0.0712261897207505,-0.00129525121263836,0.461166849261253,0.00625674582220346,0.195288331830439,0.268488093176476,0.351158343531082
307,317,-0.938897389375762,0.211925818411759,-0.398596472537616,0.1002790273014,0.999025462982235,0.0999025462982235,-0.928836321335984,0.212307827671569,-0.398560786226552,0.100096761250608,0.99900048734566,0.0999000487345661,0,0.913387541001668,0.8025,-0.0178161018412613,0.0712292256477889,-0.00134676778545413,0.460938931257982,0.00625265532442171,0.19528553745992,0.268481380974146,0.351149564572494
